rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
1.680315,0.711391,1.507506,2.277486,inf,0.020093,-1.120429,1.516953,-4.090496,-3382.607228,,0.823584,DO_mg.L,val,0,rnn,7,1,200
0.425931,0.979133,0.361343,0.510408,inf,0.08148,0.008762,0.095886,0.779724,0.4822,,0.981051,DO_mg.L,train,0,rnn,7,2,200
1.77157,0.679192,1.0629,2.246516,inf,0.238603,-0.505029,1.537791,-1.530619,-3291.208721,,0.838192,DO_mg.L,val,0,rnn,7,2,200
0.444811,0.978294,0.495542,0.477964,inf,-0.01368,-0.219296,0.252311,0.553931,0.163364,,0.964458,DO_mg.L,train,0,rnn,8,1,200
1.832132,0.600157,1.623713,1.89564,inf,-0.20578,-0.600788,1.055076,-4.023018,-5.431016,,0.803762,DO_mg.L,val,0,rnn,8,1,200
0.484971,0.974197,0.570591,0.586206,inf,-0.123734,-0.39372,0.237351,0.408588,-0.258484,,0.948684,DO_mg.L,train,0,rnn,8,2,200
1.745136,0.637227,1.865678,1.589653,inf,-0.407699,-1.096111,0.758609,-5.631626,-3.522433,,0.819237,DO_mg.L,val,0,rnn,8,2,200
0.436152,0.977888,0.402715,0.413908,inf,0.047995,0.021869,0.066159,0.706097,0.388164,,0.981777,DO_mg.L,train,0,rnn,9,1,200
1.810881,0.64948,1.881171,1.991504,inf,-0.25592,-1.613064,0.946936,-5.65723,-7.452183,,0.81226,DO_mg.L,val,0,rnn,9,1,200
0.450417,0.976418,0.475443,0.368424,inf,-0.024218,-0.161578,0.085956,0.590356,0.515244,,0.982372,DO_mg.L,train,0,rnn,9,2,200
1.895352,0.616016,2.008492,1.74466,inf,-0.554615,-1.776769,0.492105,-6.588875,-5.486765,,0.809541,DO_mg.L,val,0,rnn,9,2,200
1.025574,0.890815,1.306908,1.089411,inf,-0.016032,-0.983259,0.544286,-2.031391,-4.21387,,0.908861,DO_mg.L,train,1,rnn,0,1,10
1.422676,0.666847,1.240904,1.973884,inf,-0.048623,-0.805899,0.833318,-6.44805,-1.488456,,0.826867,DO_mg.L,val,1,rnn,0,1,10
0.90417,0.915135,0.939236,1.02956,inf,0.112083,-0.532679,0.555647,-0.565674,-3.656719,,0.933651,DO_mg.L,train,1,rnn,0,2,10
1.469665,0.644475,1.211322,1.693012,inf,0.026191,-0.401772,0.742183,-6.097167,-0.830656,,0.818016,DO_mg.L,val,1,rnn,0,2,10
1.092471,0.863046,1.248218,1.379656,inf,0.054069,-0.874816,0.8978,-1.835871,-4.822696,,0.887484,DO_mg.L,train,1,rnn,1,1,10
1.850114,0.643535,2.899204,1.686302,inf,-0.098001,-2.090818,1.092547,-13.555297,-6.96987,,0.760594,DO_mg.L,val,1,rnn,1,1,10
0.863295,0.914479,0.99911,0.922444,inf,-0.00614,-0.650133,0.45442,-0.816904,-1.602928,,0.942512,DO_mg.L,train,1,rnn,1,2,10
1.733033,0.687223,1.97125,2.246127,inf,0.140753,-1.517548,1.334772,-5.728942,-13.139991,,0.774736,DO_mg.L,val,1,rnn,1,2,10
1.070172,0.881664,1.334939,1.163436,inf,0.080817,-0.956296,0.644957,-2.14498,-4.501392,,0.915284,DO_mg.L,train,1,rnn,2,1,10
1.542127,0.626174,1.158564,2.056934,inf,0.521403,-0.554605,1.726916,-3.067342,-5.312248,,0.808068,DO_mg.L,val,1,rnn,2,1,10
0.882898,0.919456,1.03287,0.887386,inf,0.026049,-0.568701,0.459722,-0.882721,-2.200461,,0.951178,DO_mg.L,train,1,rnn,2,2,10
1.469056,0.66076,1.536702,1.430754,inf,0.222,-0.627151,0.989444,-6.155656,-2.054031,,0.832387,DO_mg.L,val,1,rnn,2,2,10
0.963382,0.89209,1.048875,1.095333,inf,0.107298,-0.592707,0.547008,-0.918101,-3.114335,,0.926611,DO_mg.L,train,1,rnn,3,1,10
1.967661,0.625173,2.343226,1.910688,inf,0.013887,-1.784423,1.154424,-8.710991,-7.660781,,0.796734,DO_mg.L,val,1,rnn,3,1,10
0.84509,0.916963,0.97089,0.937922,inf,0.036682,-0.54495,0.480602,-0.643476,-2.016758,,0.934367,DO_mg.L,train,1,rnn,3,2,10
1.985829,0.61822,1.82003,1.399839,inf,-0.34421,-1.303091,0.557468,-4.85858,-3.648724,,0.809412,DO_mg.L,val,1,rnn,3,2,10
1.007259,0.89078,1.324461,1.074163,inf,-0.006124,-0.959735,0.553807,-2.450076,-4.338991,,0.910237,DO_mg.L,train,1,rnn,4,1,10
2.105843,0.409223,3.617778,1.671825,inf,-0.475929,-3.250202,0.261597,-14.749588,-4.424542,,0.713305,DO_mg.L,val,1,rnn,4,1,10
0.852944,0.921682,1.016881,0.901157,inf,0.044249,-0.690772,0.364099,-1.033718,-2.757682,,0.942883,DO_mg.L,train,1,rnn,4,2,10
2.055277,0.437254,2.577298,1.52782,inf,-0.304966,-1.921546,0.07691,-6.993085,-3.53029,,0.729798,DO_mg.L,val,1,rnn,4,2,10
1.032896,0.873841,1.237519,1.351858,inf,0.011413,-0.87562,0.754081,-1.647335,-2.263762,,0.902874,DO_mg.L,train,1,rnn,5,1,10
1.760452,0.707936,2.082444,1.71361,inf,-0.007938,-1.730678,1.068248,-8.194063,-3864114.679792,,0.831567,DO_mg.L,val,1,rnn,5,1,10
0.873696,0.909734,0.91147,1.073881,inf,0.054463,-0.327893,0.460846,-0.436118,-1.059533,,0.949716,DO_mg.L,train,1,rnn,5,2,10
1.749915,0.711422,1.762685,1.743483,inf,0.142868,-1.563249,1.091467,-5.587337,-4000014.361721,,0.84715,DO_mg.L,val,1,rnn,5,2,10
1.016394,0.876056,1.222622,1.38351,inf,0.074459,-0.862258,0.793603,-1.59086,-2.12752,,0.893757,DO_mg.L,train,1,rnn,6,1,10
1.744708,0.690055,1.562322,2.268446,inf,0.470984,-1.204998,1.954468,-4.533807,-8462.159685,,0.771259,DO_mg.L,val,1,rnn,6,1,10
0.857911,0.911695,0.924174,1.085201,inf,0.110293,-0.492293,0.535674,-0.480359,-0.924225,,0.938113,DO_mg.L,train,1,rnn,6,2,10
1.94319,0.615523,1.37706,1.967139,inf,0.577042,-0.970142,1.169236,-3.299206,-6363.22783,,0.78833,DO_mg.L,val,1,rnn,6,2,10
0.966745,0.8925,1.144529,1.194428,inf,0.003,-0.732063,0.572468,-1.209948,-1.835613,,0.926748,DO_mg.L,train,1,rnn,7,1,10
1.716328,0.698887,1.509945,2.332523,inf,0.183561,-0.853951,1.668564,-4.106983,-3548.116761,,0.819249,DO_mg.L,val,1,rnn,7,1,10
0.872703,0.912397,1.103039,0.896888,inf,-0.098347,-0.698603,0.372346,-1.05263,-0.598833,,0.936892,DO_mg.L,train,1,rnn,7,2,10
1.748044,0.687656,2.025423,1.622114,inf,-0.280101,-1.355602,0.940906,-8.18911,-1715.450633,,0.83293,DO_mg.L,val,1,rnn,7,2,10
1.009931,0.888102,1.154944,1.240487,inf,0.135719,-0.719578,0.630509,-1.42305,-4.635479,,0.916103,DO_mg.L,train,1,rnn,8,1,10
1.830421,0.600903,2.070954,1.859375,inf,-0.253989,-1.242662,1.046832,-7.171229,-5.187308,,0.795783,DO_mg.L,val,1,rnn,8,1,10
0.877248,0.915573,1.014545,0.886787,inf,0.063655,-0.569448,0.394336,-0.86975,-1.879955,,0.950862,DO_mg.L,train,1,rnn,8,2,10
1.764098,0.629301,1.649184,1.246124,inf,-0.44168,-0.931188,0.520594,-4.181845,-1.77901,,0.80703,DO_mg.L,val,1,rnn,8,2,10
0.992931,0.8854,1.195046,1.100127,inf,-0.00108,-0.781632,0.573965,-1.588083,-3.322294,,0.915685,DO_mg.L,train,1,rnn,9,1,10
1.667447,0.702808,2.22573,1.62857,inf,-0.176195,-2.000107,0.720891,-8.319271,-4.652223,,0.800644,DO_mg.L,val,1,rnn,9,1,10
0.850297,0.91596,1.052187,0.780264,inf,-0.068284,-0.62964,0.355655,-1.006295,-1.174258,,0.940287,DO_mg.L,train,1,rnn,9,2,10
1.741562,0.675802,2.44561,1.904979,inf,-0.185122,-2.161169,0.892949,-10.251523,-6.733697,,0.798949,DO_mg.L,val,1,rnn,9,2,10
0.520384,0.971889,0.615872,0.530914,inf,-0.058399,-0.431382,0.10307,0.326817,-0.238297,,0.964856,DO_mg.L,train,1,rnn,0,1,100
1.600732,0.578235,1.61892,1.808438,inf,-0.185108,-0.757613,0.677928,-11.677006,-1.088787,,0.792318,DO_mg.L,val,1,rnn,0,1,100
0.565668,0.966784,0.511648,0.415687,inf,0.204372,0.125408,0.201704,0.535384,0.240884,,0.964405,DO_mg.L,train,1,rnn,0,2,100
1.547004,0.606073,1.410573,1.869383,inf,-0.068315,-0.402316,0.716659,-8.624032,-1.231943,,0.80607,DO_mg.L,val,1,rnn,0,2,100
0.513438,0.96975,0.514598,0.578146,inf,0.059373,0.003761,0.126929,0.518006,-0.022488,,0.980715,DO_mg.L,train,1,rnn,1,1,100
1.766467,0.675039,2.091204,1.979928,inf,0.138581,-1.507036,1.083736,-6.572796,-9.987005,,0.782932,DO_mg.L,val,1,rnn,1,1,100
0.433095,0.978476,0.452351,0.500266,inf,-0.04659,-0.218875,0.110938,0.62756,0.23443,,0.970395,DO_mg.L,train,1,rnn,1,2,100
1.610475,0.729898,2.348931,1.802295,inf,-0.183557,-1.732391,1.041371,-8.554412,-8.104001,,0.79561,DO_mg.L,val,1,rnn,1,2,100
0.52629,0.971381,0.500591,0.660379,inf,0.035892,-0.212,0.292061,0.557756,-0.772448,,0.971849,DO_mg.L,train,1,rnn,2,1,100
1.669413,0.561916,1.621481,2.169064,inf,0.283582,-0.606372,1.715656,-6.966988,-6.019206,,0.772349,DO_mg.L,val,1,rnn,2,1,100
