Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
4.0,1.046232,0.709774,1.374167,1.503077,inf,0.068382,-0.999954,0.81203,-4.948199,-1.519063,,0.806482,DO_mg.L,train,5,rnn
4.5,1.068442,0.745228,1.198618,1.574073,inf,0.112226,-0.860986,0.923334,-5.463116,-1.726807,,0.820713,DO_mg.L,train,5,rnn
5.0,1.127088,0.751178,1.027973,1.791886,inf,0.107495,-0.745772,0.942676,-5.385499,-1.387839,,0.832951,DO_mg.L,train,5,rnn
5.5,1.13733,0.776641,1.201822,1.709825,inf,0.032906,-0.892077,0.868246,-10.873401,-1.281005,,0.844883,DO_mg.L,train,5,rnn
6.0,1.203273,0.781544,1.227972,1.852481,inf,0.053278,-0.841666,1.178683,-16.916449,-2.361692,,0.843574,DO_mg.L,train,5,rnn
6.5,1.289391,0.76612,1.157762,1.612482,inf,0.257164,-0.704979,1.119246,-14.05433,-6.880483,,0.845438,DO_mg.L,train,5,rnn
7.0,1.287461,0.782624,1.056941,1.290091,inf,0.312329,-0.569698,0.892628,-9.067697,-826.439377,,0.847923,DO_mg.L,train,5,rnn
7.5,1.229089,0.808584,0.810545,1.23458,inf,0.242728,-0.442946,0.734306,-3.441962,-10547.363341,,0.870317,DO_mg.L,train,5,rnn
8.0,1.110394,0.849932,0.818507,1.238672,inf,0.060095,-0.484653,0.720234,-2.917946,-1908821.313179,,0.909259,DO_mg.L,train,5,rnn
8.5,1.080466,0.862823,0.943282,,inf,0.021545,-0.51249,,-4.041305,,,0.916943,DO_mg.L,train,5,rnn
9.0,0.998652,0.887122,0.864893,,inf,0.067489,-0.510899,,-3.742501,,,0.924194,DO_mg.L,train,5,rnn
9.5,0.986627,0.893842,0.88132,,inf,0.10228,-0.512794,,-3.300136,,,0.919559,DO_mg.L,train,5,rnn
10.0,0.967696,0.900313,0.926573,,inf,0.129686,-0.540734,,-3.493025,,,0.914384,DO_mg.L,train,5,rnn
0.0,1.032618,0.646993,1.701056,1.313406,0.134195,0.002858,-1.539436,0.997003,-4.091857,-0.276896,0.694036,0.706599,DO_mg.L,train,6,rnn
0.5,1.032996,0.687162,1.965741,1.259865,0.132554,-0.016204,-1.73146,0.959526,-5.209256,-0.139901,0.739745,0.710938,DO_mg.L,train,6,rnn
1.0,0.994279,0.708681,1.719459,1.237245,0.130895,0.053205,-1.51557,0.900748,-5.101153,-0.143983,0.755078,0.734926,DO_mg.L,train,6,rnn
1.5,0.968418,0.721463,1.616905,1.235913,0.130271,0.093573,-1.390524,0.853355,-4.970936,-0.144201,0.76664,0.756638,DO_mg.L,train,6,rnn
2.0,0.976141,0.715679,1.589228,1.255468,0.13266,0.119721,-1.33479,0.791234,-4.644471,-0.271235,0.761369,0.767038,DO_mg.L,train,6,rnn
2.5,0.959332,0.733448,1.682687,1.233806,0.131257,0.036436,-1.410838,0.719209,-5.457336,-0.340535,0.775095,0.783078,DO_mg.L,train,6,rnn
3.0,0.989623,0.712072,1.802647,1.1675,0.133017,-0.086957,-1.532596,0.531147,-5.640979,-0.334504,0.758476,0.788532,DO_mg.L,train,6,rnn
3.5,1.0235,0.701346,1.725209,1.338225,inf,-0.094734,-1.448387,0.645941,-5.634674,-0.895352,,0.790074,DO_mg.L,train,6,rnn
4.0,1.074368,0.693954,1.597337,1.521752,inf,-0.049652,-1.303176,0.806058,-7.0371,-1.582048,,0.785499,DO_mg.L,train,6,rnn
4.5,1.130155,0.714947,1.516735,1.752794,inf,-0.07939,-1.22862,1.154487,-9.349036,-2.381163,,0.776228,DO_mg.L,train,6,rnn
5.0,1.134077,0.748083,1.416024,1.568061,inf,-0.140911,-1.117041,1.069531,-11.116356,-0.828564,,0.804563,DO_mg.L,train,6,rnn
5.5,1.178763,0.760071,1.57104,1.389486,inf,-0.203107,-1.202911,0.909402,-19.289418,-0.506369,,0.822342,DO_mg.L,train,6,rnn
6.0,1.203422,0.78149,1.495065,1.453509,inf,-0.180414,-1.055377,0.936175,-25.558015,-1.069599,,0.837039,DO_mg.L,train,6,rnn
6.5,1.274919,0.77134,1.702903,1.38189,inf,0.026079,-1.114551,0.94571,-31.568868,-4.787752,,0.838031,DO_mg.L,train,6,rnn
7.0,1.226854,0.802608,1.396881,1.139353,inf,0.077537,-0.874303,0.778571,-16.585191,-644.375735,,0.85184,DO_mg.L,train,6,rnn
7.5,1.166764,0.827504,1.09104,0.983663,inf,0.06253,-0.778711,0.593093,-7.048265,-6695.362343,,0.87638,DO_mg.L,train,6,rnn
8.0,1.110118,0.850007,1.071063,0.996672,inf,-0.087251,-0.831863,0.513498,-5.708783,-1235824.321988,,0.897291,DO_mg.L,train,6,rnn
8.5,1.08914,0.860612,1.216229,,inf,-0.105229,-0.860395,,-7.380903,,,0.901274,DO_mg.L,train,6,rnn
9.0,1.01483,0.883435,1.085276,,inf,-0.052178,-0.807621,,-6.467285,,,0.912955,DO_mg.L,train,6,rnn
9.5,0.980354,0.895187,1.098533,,inf,-0.002446,-0.786201,,-5.681003,,,0.916606,DO_mg.L,train,6,rnn
10.0,0.963793,0.901115,1.183128,,inf,0.053263,-0.781535,,-6.325607,,,0.914473,DO_mg.L,train,6,rnn
0.0,0.973474,0.686272,1.663325,1.156827,0.122561,-0.059748,-1.496898,0.691148,-3.868477,0.00941,0.744787,0.766813,DO_mg.L,train,7,rnn
0.5,0.94877,0.736097,1.844558,1.041248,0.117407,-0.067124,-1.607085,0.676038,-4.467283,0.221377,0.795825,0.765772,DO_mg.L,train,7,rnn
1.0,0.905147,0.75857,1.577349,1.030912,0.115531,0.02853,-1.353474,0.696218,-4.13433,0.205761,0.809199,0.781359,DO_mg.L,train,7,rnn
1.5,0.888507,0.765535,1.502215,1.033291,0.116134,0.09438,-1.227141,0.741937,-4.153921,0.200219,0.81454,0.792221,DO_mg.L,train,7,rnn
2.0,0.903606,0.756364,1.47692,1.106744,0.120398,0.148162,-1.180853,0.804703,-3.874893,0.012109,0.803443,0.793385,DO_mg.L,train,7,rnn
2.5,0.893031,0.769019,1.541493,1.089459,0.120127,0.092582,-1.218976,0.775343,-4.419131,-0.045216,0.811619,0.800067,DO_mg.L,train,7,rnn
3.0,0.901606,0.761011,1.61311,1.018666,0.11928,-0.01638,-1.287996,0.645253,-4.317883,-0.015943,0.805784,0.808008,DO_mg.L,train,7,rnn
3.5,0.94335,0.746289,1.534384,1.20961,inf,-0.019524,-1.186906,0.75511,-4.248128,-0.548539,,0.812946,DO_mg.L,train,7,rnn
4.0,0.972305,0.74934,1.360034,1.338411,inf,0.016718,-1.009219,0.800962,-4.826474,-0.997358,,0.82649,DO_mg.L,train,7,rnn
4.5,1.018568,0.768458,1.208663,1.557616,inf,0.031099,-0.892014,0.944403,-5.5719,-1.670088,,0.831815,DO_mg.L,train,7,rnn
5.0,1.063096,0.778631,1.099256,1.670669,inf,0.00313,-0.824926,1.035639,-6.301784,-1.075704,,0.838889,DO_mg.L,train,7,rnn
5.5,1.121995,0.782624,1.272018,1.4443,inf,-0.03518,-0.932765,0.951871,-12.300908,-0.627562,,0.851596,DO_mg.L,train,7,rnn
6.0,1.17067,0.793222,1.396887,1.480643,inf,-0.021212,-0.896684,0.949803,-22.184505,-1.14759,,0.868413,DO_mg.L,train,7,rnn
6.5,1.256317,0.777964,1.609148,1.321368,inf,0.178577,-0.79304,0.859533,-28.081394,-4.29189,,0.86672,DO_mg.L,train,7,rnn
7.0,1.186561,0.815361,1.182686,1.094285,inf,0.219747,-0.517846,0.674656,-11.605714,-594.328564,,0.876106,DO_mg.L,train,7,rnn
7.5,1.193327,0.819561,0.899993,1.126897,inf,0.16849,-0.519574,0.538226,-4.47644,-8787.503664,,0.881023,DO_mg.L,train,7,rnn
8.0,1.11394,0.848972,0.949565,1.001514,inf,-0.055861,-0.677179,0.493601,-4.273069,-1247862.987093,,0.901696,DO_mg.L,train,7,rnn
8.5,1.098295,0.858258,1.153129,,inf,-0.082892,-0.783137,,-6.533835,,,0.898671,DO_mg.L,train,7,rnn
9.0,1.020175,0.882204,1.065403,,inf,-0.019965,-0.807304,,-6.196321,,,0.903698,DO_mg.L,train,7,rnn
9.5,1.016832,0.887242,1.170786,,inf,0.031763,-0.881428,,-6.588745,,,0.897935,DO_mg.L,train,7,rnn
10.0,1.016278,0.890052,1.26971,,inf,0.067586,-0.953244,,-7.437018,,,0.894256,DO_mg.L,train,7,rnn
0.0,0.95017,0.701113,1.650351,0.987737,0.119104,-0.129951,-1.422008,0.306302,-3.792821,0.277829,0.758979,0.820455,DO_mg.L,train,8,rnn
0.5,0.934649,0.743894,1.861315,0.930704,0.116027,-0.116768,-1.586091,0.330343,-4.567071,0.377925,0.800597,0.818724,DO_mg.L,train,8,rnn
