Depth_m,Temp_C,datetime,DO_mg.L
0.5,19.786,2019-04-26T14:00:00Z,10.37
1,19.832,2019-04-26T14:00:00Z,10.308
1.5,19.783,2019-04-26T14:00:00Z,10.242
2,19.639,2019-04-26T14:00:00Z,10.108
2.5,19.7,2019-04-26T14:00:00Z,10.034
3,19.663,2019-04-26T14:00:00Z,9.97
3.5,19.713,2019-04-26T14:00:00Z,9.968
4,19.651,2019-04-26T14:00:00Z,9.903
4.5,19.737,2019-04-26T14:00:00Z,9.84
5,19.649,2019-04-26T14:00:00Z,9.849
5.5,19.655,2019-04-26T14:00:00Z,9.851
6,19.615,2019-04-26T14:00:00Z,9.848
6.5,19.617,2019-04-26T14:00:00Z,9.837
7,19.524,2019-04-26T14:00:00Z,9.773
7.5,19.577,2019-04-26T14:00:00Z,9.706
8,19.559,2019-04-26T14:00:00Z,9.703
8.5,19.454,2019-04-26T14:00:00Z,9.556
9,18.811,2019-04-26T14:00:00Z,8.851
9.5,18.747,2019-04-26T14:00:00Z,8.279
10,18.297,2019-04-26T14:00:00Z,7.643
0,20.501,2019-04-26T16:00:00Z,11.58
0.5,20.1,2019-04-26T16:00:00Z,11.326
1,19.824,2019-04-26T16:00:00Z,10.594
1.5,19.766,2019-04-26T16:00:00Z,10.584
2,19.874,2019-04-26T16:00:00Z,10.402
2.5,19.69,2019-04-26T16:00:00Z,10.111
3,19.735,2019-04-26T16:00:00Z,9.975
3.5,19.64,2019-04-26T16:00:00Z,9.919
4,19.659,2019-04-26T16:00:00Z,9.834
4.5,19.673,2019-04-26T16:00:00Z,9.712
5,19.724,2019-04-26T16:00:00Z,9.716
5.5,19.738,2019-04-26T16:00:00Z,9.789
6,19.733,2019-04-26T16:00:00Z,9.853
6.5,19.747,2019-04-26T16:00:00Z,9.774
7,19.744,2019-04-26T16:00:00Z,9.645
7.5,18.852,2019-04-26T16:00:00Z,9.111
8,18.765,2019-04-26T16:00:00Z,8.468
8.5,18.622,2019-04-26T16:00:00Z,8.022
9,18.252,2019-04-26T16:00:00Z,7.572
9.5,18.074,2019-04-26T16:00:00Z,7.129
10,17.98,2019-04-26T16:00:00Z,6.992
0,20.734,2019-04-26T18:00:00Z,12.544
0.5,20.431,2019-04-26T18:00:00Z,12.573
1,20.115,2019-04-26T18:00:00Z,11.899
1.5,19.886,2019-04-26T18:00:00Z,11.453
2,19.878,2019-04-26T18:00:00Z,11.041
2.5,19.898,2019-04-26T18:00:00Z,10.76
3,19.879,2019-04-26T18:00:00Z,10.617
3.5,19.774,2019-04-26T18:00:00Z,10.41
4,19.794,2019-04-26T18:00:00Z,10.354
4.5,19.774,2019-04-26T18:00:00Z,10.349
5,19.83,2019-04-26T18:00:00Z,10.414
5.5,19.145,2019-04-26T18:00:00Z,9.542
6,19.203,2019-04-26T18:00:00Z,9.238
6.5,18.891,2019-04-26T18:00:00Z,9.002
7,18.617,2019-04-26T18:00:00Z,8.085
7.5,18.505,2019-04-26T18:00:00Z,7.566
8,18.617,2019-04-26T18:00:00Z,7.597
8.5,18.004,2019-04-26T18:00:00Z,7.272
9,18.096,2019-04-26T18:00:00Z,6.969
9.5,18.009,2019-04-26T18:00:00Z,6.901
10,17.974,2019-04-26T18:00:00Z,6.996
0,21.636,2019-04-26T20:00:00Z,13.666
0.5,20.734,2019-04-26T20:00:00Z,13.778
1,20.005,2019-04-26T20:00:00Z,12.287
1.5,19.958,2019-04-26T20:00:00Z,11.211
2,19.967,2019-04-26T20:00:00Z,10.869
2.5,19.796,2019-04-26T20:00:00Z,10.468
3,19.848,2019-04-26T20:00:00Z,10.391
3.5,19.839,2019-04-26T20:00:00Z,10.326
4,19.843,2019-04-26T20:00:00Z,10.332
4.5,19.855,2019-04-26T20:00:00Z,10.343
5,19.556,2019-04-26T20:00:00Z,9.917
5.5,19.364,2019-04-26T20:00:00Z,9.491
6,19.364,2019-04-26T20:00:00Z,9.26
6.5,18.93,2019-04-26T20:00:00Z,8.73
7,18.474,2019-04-26T20:00:00Z,8.03
7.5,18.394,2019-04-26T20:00:00Z,7.676
8,18.38,2019-04-26T20:00:00Z,7.655
8.5,18.465,2019-04-26T20:00:00Z,7.501
9,18.057,2019-04-26T20:00:00Z,7.122
9.5,18.089,2019-04-26T20:00:00Z,6.925
10,17.885,2019-04-26T20:00:00Z,6.953
0,20.514,2019-04-26T22:00:00Z,13.251
0.5,20.111,2019-04-26T22:00:00Z,12.263
1,19.9,2019-04-26T22:00:00Z,11.707
1.5,19.786,2019-04-26T22:00:00Z,11.185
2,19.791,2019-04-26T22:00:00Z,10.801
2.5,19.729,2019-04-26T22:00:00Z,10.299
3,19.739,2019-04-26T22:00:00Z,10.078
3.5,19.376,2019-04-26T22:00:00Z,9.806
4,19.253,2019-04-26T22:00:00Z,9.372
4.5,18.784,2019-04-26T22:00:00Z,8.708
5,18.803,2019-04-26T22:00:00Z,8.338
5.5,18.704,2019-04-26T22:00:00Z,8.241
6,18.668,2019-04-26T22:00:00Z,8.112
6.5,18.587,2019-04-26T22:00:00Z,8.086
7,18.522,2019-04-26T22:00:00Z,7.962
7.5,18.548,2019-04-26T22:00:00Z,7.8
8,18.434,2019-04-26T22:00:00Z,7.602
8.5,18.337,2019-04-26T22:00:00Z,7.491
9,18.307,2019-04-26T22:00:00Z,7.299
9.5,18.322,2019-04-26T22:00:00Z,7.165
10,18.188,2019-04-26T22:00:00Z,7.094
0,20.264,2019-04-27T00:00:00Z,13.067
0.5,19.852,2019-04-27T00:00:00Z,11.177
1,19.732,2019-04-27T00:00:00Z,10.251
1.5,19.644,2019-04-27T00:00:00Z,9.831
2,19.363,2019-04-27T00:00:00Z,9.359
2.5,19.213,2019-04-27T00:00:00Z,9.074
3,19.169,2019-04-27T00:00:00Z,9.001
3.5,19.018,2019-04-27T00:00:00Z,8.916
4,18.824,2019-04-27T00:00:00Z,8.562
4.5,18.756,2019-04-27T00:00:00Z,8.274
5,18.72,2019-04-27T00:00:00Z,8.12
5.5,18.625,2019-04-27T00:00:00Z,7.957
6,18.574,2019-04-27T00:00:00Z,7.876
6.5,18.487,2019-04-27T00:00:00Z,7.787
7,18.477,2019-04-27T00:00:00Z,7.713
7.5,18.475,2019-04-27T00:00:00Z,7.475
8,18.388,2019-04-27T00:00:00Z,7.436
8.5,18.399,2019-04-27T00:00:00Z,7.434
9,18.339,2019-04-27T00:00:00Z,7.491
9.5,18.203,2019-04-27T00:00:00Z,7.294
10,18.217,2019-04-27T00:00:00Z,7.157
0,19.977,2019-04-27T02:00:00Z,12.609
0.5,19.749,2019-04-27T02:00:00Z,10.305
1,19.561,2019-04-27T02:00:00Z,9.903
1.5,19.511,2019-04-27T02:00:00Z,9.828
2,19.453,2019-04-27T02:00:00Z,9.534
2.5,19.241,2019-04-27T02:00:00Z,9.175
3,19.223,2019-04-27T02:00:00Z,8.959
3.5,19.092,2019-04-27T02:00:00Z,8.816
4,18.769,2019-04-27T02:00:00Z,8.517
