Date,Time,Site,Station_ID,Depth_TMB,Depth_m,Comments,chla_ug.L,TSS_mg.L,VSS_mg.L,TDS_mg.L,NH4_mg.L,Nox_mg.L,TKN_mg.L,TP_mg.L,DOPO4_mg.L,TOC_mg.L,DOC_mg.L,Alkalinity_mg.L,Cl_mg.L,SO4_mg.L,Tfe_ug.L,TMn_ug.L,DMn_ug.L,Ca_mg.L,Mg_mg.L,Na_mg.L,K_mg.L,As_ug.L,Tsi_mg.L,Dsi_mg.L,Algae_cells.mL,Br_mg.L,Ecoli_MPN,FecalCol.100mL,TTHMFP_uM,Dfe_ug.L,DMn_ug.L,Pb_ug.L,STKN_mg.L,DTP_mg.L,TOPOO4_mg.L,CBOD5_mg.L,BOD20_mg.L,VSS_mg.L_alt,NO3_mg.L,NO2_mg.L,Si_mg.L,Color_mg.L,pH,SBFP,SolP.P_mg.L
03/24/1993,,RC-05,15170,M,,,17.2,5.8,,208,<0.05,0.35,0.58,0.06,0.01,4.87,4.34,111,12.7,32.1,,,,42.2,3.08,15.3,4.22,<1.0,,,1200,,,0,3.44,<20,<10,<5,0.25,,,,,,,,,,,,
04/21/1993,,RC-05,15170,M,,,17.2,7.4,,200,0.06,0.34,0.74,0.06,0.01,4.83,4.16,113,12.9,32.5,,,,45.1,3.31,15.8,4.21,2,,,2800,,,4,2.44,20,<10,<5,0.5,,,,,,,,,,,,
05/25/1993,,RC-05,15170,M,,,1.1,9.5,,201,<0.05,0.23,0.5,0.06,0.04,4.57,4.03,114,8.6,25.1,,,,49.9,3.29,15.2,4.59,3,,,2220,,,0,3.19,<20,<10,<5,0.45,,,,,,,,,,,,
05/26/1993,,RC-01,15168,T,,,6.5, <4.0,,165,<0.05,0.27,0.49,0.03,0.02,4.74,3.77,108,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.32,,,,,,,,,,,,
05/26/1993,,RC-01,15168,B,,,2,5.8,,174,<0.05,0.46,0.47,0.04,0.01,4.36,3.83,108,,,,,,,,,,,,,,,,0,,<20,10,<5,0.32,,,,,,,,,,,,
05/26/1993,,RC-02,15169,T,,,12.7, <4.0,,166,<0.05,0.23,0.57,0.04,0.02,4.59,4.14,109,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.34,,,,,,,,,,,,
05/26/1993,,RC-02,15169,B,,,1.2,4.4,,176,0.08,0.36,0.58,0.05,0.04,4.67,4.37,112,,,,,,,,,,,,,,,,,,<20,90,<5,0.43,,,,,,,,,,,,
05/26/1993,,RC-03,11068,T,,,8.2, <4.0,,170,<0.05,0.11,0.52,0.04,0.01,4.88,4.01,107,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.38,,,,,,,,,,,,
05/26/1993,,RC-03,11068,B,,,1.8,14.3,,182,0.18,0.01,0.81,0.13,0.05,5.66,4.06,117,,,,,,,,,,,,,,,,0,,80,390,<5,0.54,,,,,,,,,,,,
05/26/1993,,RC-04,15172,T,,,20.5,14.6,,174,0.1,<0.01,0.96,0.15,0.03,5.98,5,106,,,,,,,,,,,,,,,,3,,20,<10,<5,0.5,,,,,,,,,,,,
05/26/1993,,RC-04,15172,B,,,26.7,15.8,,171,0.1,0.01,0.89,0.1,0.03,6.62,5.35,107,,,,,,,,,,,,,,,,10,,20,<10,<5,0.5,,,,,,,,,,,,
05/26/1993,,RC-05,15170,T,,,4.2,5.2,,193,0.05,0.24,0.53,0.05,0.02,4.53,3.92,115,14,27.5,,,,50.19,3.36,15.5,4.59,2,,,1940,,,2,,20,<10,<5,0.43,,,,,,,,,,,,
05/26/1993,,RC-05,15170,M,,,3.3,6,,197,0.1,0.24,0.59,0.05,0.04,4.54,3.89,114,13.7,25.4,,,,51.9,3.36,15.4,4.64,2,,,3000,,,0,4.2,<20,<10,<5,0.43,,,,,,,,,,,,
05/26/1993,,RC-05,15170,B,,,2.4,16.6,,198,0.13,0.35,0.72,0.09,0.04,5.4,4.17,115,13.4,24.6,,,,50.9,3.43,14.5,4.67,3,,,4460,,,0,3.37,50,130,<5,0.48,,,,,,,,,,,,
05/26/1993,,RC-06,15199,T,,,22,42.3,,245,<0.05,0.57,0.85,0.16,0.03,5.99,4.86,135,,,,,,,,,,,,,,,,39,,20,<10,<5,0.53,,,,,,,,,,,,
05/26/1993,,RC-06,15199,B,,,12.2,89.2,,257,0.21,0.56,0.99,0.22,0.04,6.05,4.3,142,,,,,,,,,,,,,,,,27,,20,10,<5,0.7,,,,,,,,,,,,
06/29/1993,,RC-05,15170,M,,,16.9,9.2,,186,0.05,0.01,0.61,0.05,0.02,5.29,4.68,99,13.5,31.4,,,,40.8,3.63,16,4.19,4,,,4800,,,2,3.15,<20,<10,<5,0.37,,,,,,,,,,,,
08/04/1993,,RC-05,15170,M,,,11.4,5.1,,177,<0.05,0.01,0.7,0.04,0.01,5,4.39,94.6,13.3,34.3,,,,36.9,3.3,16.7,4.37,<1.0,,,5020,,,0,2.5,<20,<10,<5,0.5,,,,,,,,,,,,
08/18/1993,,RC-01,15168,T,,,6.7, <4.0,,179,<0.05,<0.01,0.52,0.01,0.01,5.33,4.7,94.9,,,,,,,,,,,,,,,,3,,<20,<10,<5,0.42,,,,,,,,,,,,
08/18/1993,,RC-01,15168,B,,,0.5, <4.0,,202,0.4,0.01,0.83,0.14,0.05,5.25,4.48,125,,,,,,,,,,,,,,,,0,,120,650,<5,0.74,,,,,,,,,,,,
08/18/1993,,RC-02,15169,T,,,7.8, <4.0,,178,<0.05,<0.01,0.56,0.02,0.01,5.32,4.61,94.3,,,,,,,,,,,,,,,,5,,<20,<10,<5,0.41,,,,,,,,,,,,
08/18/1993,,RC-02,15169,B,,,3.8, <4.0,,196,0.09,<0.01,0.58,0.05,0.02,5.39,4.54,114,,,,,,,,,,,,,,,,0,,250,830,<5,0.54,,,,,,,,,,,,
08/18/1993,,RC-03,11068,T,,,3.6,4.3,,172,<0.05,<0.01,0.63,0.03,<0.01,5.79,4.92,86.5,,,,,,,,,,,,,,,,0,,<20,<10,<5,0.46,,,,,,,,,,,,
08/18/1993,,RC-03,11068,B,,,5.3,8.2,,212,1.72,<0.01,2.39,0.63,0.24,6.42,5.51,158,,,,,,,,,,,,,,,,0,,260,970,<5,2..07,,,,,,,,,,,,
08/18/1993,,RC-04,15172,T,,,11.4,4.9,,199,0.06,<0.01,0.81,0.06,0.01,6.35,5.53,113,,,,,,,,,,,,,,,,6,,<20,<10,<5,0.54,,,,,,,,,,,,
08/18/1993,,RC-04,15172,B,,,20,10.6,,199,<0.05,0.01,0.8,0.17,0.01,6.28,5.4,113,,,,,,,,,,,,,,,,3,,<20,<10,<5,0.52,,,,,,,,,,,,
08/18/1993,,RC-05,15170,T,,,6.9, <4.0,,176,<0.05,<0.01,0.54,0.02,0.01,5.3,4.5,95.6,13.4,36,,,,38.7,3.34,16.9,4.51,3,,,2700,,,4,3.58,<20,<10,<5,0.41,,,,,,,,,,,,
08/18/1993,,RC-05,15170,M,,,11,5.3,,180,<0.05,<0.01,0.62,0.03,0.01,5.16,4.43,95.9,13.4,33,,,,37.3,3.37,16.7,4.48,3,,,8880,,,0,4.01,<20,<10,<5,0.47,,,,,,,,,,,,
08/18/1993,,RC-05,15170,B,,,15.4,57.9,,216,1.75,<0.01,2.92,0.9,0.05,10.1,5.19,160,12.5,13.6,,,,50.4,3.97,15.6,4.55,28,,,7760,,,0,8.62,130,1970,<5,2.09,,,,,,,,,,,,
08/18/1993,,RC-06,15199,T,,,16.3,37.4,,216,0.06,0.01,1.02,0.15,<0.01,6.55,4.63,105,,,,,,,,,,,,,,,,,,<20,30,<5,0.55,,,,,,,,,,,,
08/18/1993,,RC-06,15199,B,,,14.2,22.2,,194,0.06,0.01,0.93,0.1,<0.01,6.8,5.16,94,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.5,,,,,,,,,,,,
09/29/1993,,RC-05,15170,M,,,4.8,6.2,,185,0.06,0.02,0.73,0.05,0.01,4.93,4.28,98.9,14.3,29.8,,,,39.8,3.58,16.7,4.54,6,,,6500,,,0,5.14,<20,<10,<5,0.5,,,,,,,,,,,,
10/27/1993,,RC-05,15170,M,,,8,18.7,,176,<0.05,0.12,0.64,0.13,0.01,4.93,4.06,95.6,13,33.3,,,,16.1,3.68,12.4,4.18,2,,,3240,,,20,8.68,40,<10,<5,0.54,,,,,,,,,,,,
12/15/1993,,RC-01,15168,T,,,5.1,6,,181,<0.05,0.26,0.52,0.06,0.06,4.29,4.07,97.6,,,,,,,,,,,,,,,,5,,<20,<10,<5,0.42,,,,,,,,,,,,
12/15/1993,,RC-01,15168,B,,,3.6,5.1,,190,<0.05,0.25,0.51,0.06,0.03,4.36,4.14,103,,,,,,,,,,,,,,,,6,,<20,<10,<5,0.42,,,,,,,,,,,,
12/15/1993,,RC-02,15169,T,,,7.1,7.3,,193,<0.05,0.24,0.54,0.05,0.04,5.66,5.26,102,,,,,,,,,,,,,,,,4,,<20,<10,<5,0.42,,,,,,,,,,,,
