Depth_m,Temp_C,datetime,DO_mg.L
3,11.625,2021-03-25T09:00:00Z,10.542
3.5,11.625,2021-03-25T09:00:00Z,10.529
4,12,2021-03-25T09:00:00Z,10.204
4.5,11.312,2021-03-25T09:00:00Z,10.035
5,11.312,2021-03-25T09:00:00Z,9.974
5.5,10.938,2021-03-25T09:00:00Z,9.254
6,10.062,2021-03-25T09:00:00Z,8
6.5,9.562,2021-03-25T09:00:00Z,7.442
7,8.875,2021-03-25T09:00:00Z,6.587
7.5,8.312,2021-03-25T09:00:00Z,5.784
8,7.5,2021-03-25T09:00:00Z,5.258
8.5,7.031,2021-03-25T09:00:00Z,4.705
0,11.875,2021-03-25T11:00:00Z,NA
0.5,11.875,2021-03-25T11:00:00Z,NA
1,11.812,2021-03-25T11:00:00Z,NA
1.5,11.688,2021-03-25T11:00:00Z,NA
2,11.688,2021-03-25T11:00:00Z,NA
2.5,11.75,2021-03-25T11:00:00Z,NA
3,11.688,2021-03-25T11:00:00Z,NA
3.5,11.5,2021-03-25T11:00:00Z,NA
4,11.5,2021-03-25T11:00:00Z,NA
4.5,11.375,2021-03-25T11:00:00Z,NA
5,11.25,2021-03-25T11:00:00Z,NA
5.5,10.875,2021-03-25T11:00:00Z,NA
6,10.812,2021-03-25T11:00:00Z,NA
6.5,9.75,2021-03-25T11:00:00Z,NA
7,9.5,2021-03-25T11:00:00Z,NA
7.5,8.688,2021-03-25T11:00:00Z,NA
8,8.062,2021-03-25T11:00:00Z,NA
8.5,7.375,2021-03-25T11:00:00Z,NA
0,14.195,2021-03-28T11:00:00Z,10.736
0.5,14.19,2021-03-28T11:00:00Z,10.741
1,14.219,2021-03-28T11:00:00Z,10.734
1.5,14.247,2021-03-28T11:00:00Z,10.715
2,14.232,2021-03-28T11:00:00Z,10.715
2.5,14.23,2021-03-28T11:00:00Z,10.717
3,14.208,2021-03-28T11:00:00Z,10.705
3.5,14.032,2021-03-28T11:00:00Z,10.564
4,14.061,2021-03-28T11:00:00Z,10.534
4.5,12.888,2021-03-28T11:00:00Z,9.027
5,12.233,2021-03-28T11:00:00Z,7.732
5.5,12.068,2021-03-28T11:00:00Z,7.39
