none,doy,hour_of_day,Depth_m,WaterTemp_C,Cloud_cov_fraction,DewPoint_C,AirTemp_C,Pressure_hPa,WWind_m.s,SWind_m.s,Datetime,val_period,Depth_m_raw,group_number
4.549715762086753,-0.6155169359514998,-0.06778224975139682,-1.5049599436254106,-1.5495841424451762,-0.14506971957605372,-0.1271226468477637,-0.39525609732891337,-0.20328637928643206,-0.06032170667899685,0.2074557670713232,2021-08-11 21:00:00,8,5,3
4.549715740006376,-0.6079295428144674,-0.14088302742942607,-1.4662505324785338,-1.5224918268044503,-0.14714474274137854,-0.04359776569182989,-0.3262637038561589,-0.03526742839553278,-0.12612898499722136,-0.08053023194431527,2021-08-11 23:00:00,8,5,3
4.549715613248885,-0.5804107128862933,-0.11461574842467707,-1.2964187717737274,-1.3705515794627556,-0.09234856422278918,-0.23818713834975458,-0.3393466365810942,-0.13877540276068948,-0.15844569523753887,-0.1959768252137064,2021-08-12 01:00:00,8,5,3
4.549715685696923,-0.664559269055269,-0.1381492603739087,-1.2925953641514163,-1.3271789568161743,-0.16086927147922692,-0.32367674168424937,-0.4054500570948613,-0.22351649766857756,0.12855742164820463,-0.08457515869244732,2021-08-12 03:00:00,8,5,3
4.549715611786618,-0.6266391624158775,-0.1024930145458825,-1.2373971253639575,-1.240471756099563,-0.10417869465999524,-0.39984171684673575,-0.23615486795500198,-0.24065713909108233,-0.16773823484506126,-0.1931983322645391,2021-08-12 05:00:00,8,5,3
4.549715749474806,-0.6732700092162855,0.025249757737355143,-1.439483152393754,-1.4784352815991872,-0.07086604753818596,-0.48058973058396953,-0.4529006428677809,-0.2408360440380362,0.11643143621468387,0.22949958155581524,2021-08-12 19:00:00,8,5,3
4.549715736977262,-0.5028591807497362,-0.057606720452815265,-1.4537605951748995,-1.6267722798720707,-0.16239154327079514,-0.41172710649227234,-0.32028672484518844,-0.24102028919823706,0.07811472650298014,0.20165607482693615,2021-08-12 21:00:00,8,5,3
4.549715667009802,-0.5302140938061191,-0.07412652581734208,-1.3851851689199193,-1.5088629956978372,-0.11933853843136744,-0.2369183733943256,-0.2801752823895124,-0.22284978119213,-0.14136000113854086,0.016104995823042617,2021-08-12 23:00:00,8,5,3
4.549715578477248,-0.5168005830177809,-0.1145070835131751,-1.2602208522806229,-1.3319141820883966,-0.0862716738355127,-0.396339601404396,-0.33056822301708416,-0.17761761696997375,-0.14723457986989194,-0.17251896480114168,2021-08-13 01:00:00,8,5,4
4.549715589300217,-0.5644641179615244,-0.17686675197667703,-1.2379032741263665,-1.2742921886180496,-0.0856048099370578,-0.4001198141556404,-0.34190625274560127,-0.11352774109846739,-0.15933486310575948,-0.1683921328831426,2021-08-13 03:00:00,8,5,4
